timestamp,target_dist,target_x,target_y,skew,target_1_horizontal_angle,target_2_horizontal_angle,target_3_horizontal_angle,heading,horiz_angle,to_the_left,difference,heading_model,has_target,unfiltered_horiz_angle_1,unfiltered_horiz_angle_2,unfiltered_horiz_angle_3,overall_tx,back_target_dist,back_horiz_angle,back_has_target,pricey_has_target,pricey_horiz_angle,pricey_target_dist,queue_index
1476300,0.646216,0,0,0,-0.191665,-4.94066e-324,0,0,0,1,0.0578245,0,0,-0.191665,-0.249489,-0.269156,0,0.646216,0,0,0,0,1.08364,7656

1476310,0.646216,0,0,0,-0.191665,-4.94066e-324,0,0,0,1,0.0578245,0,0,-0.191665,-0.249489,-0.269156,0,0.646216,0,0,0,0,1.08364,7657

1476320,0.646216,0,0,0,-0.191665,-4.94066e-324,0,0,0,1,0.0578245,0,0,-0.191665,-0.249489,-0.269156,0,0.646216,0,0,0,0,1.08364,7658

1476330,0.646216,0,0,0,-0.191665,-4.94066e-324,0,0,0,1,0.0578245,0,0,-0.191665,-0.249489,-0.269156,0,0.646216,0,0,0,0,1.08364,7659

1476340,0.646216,0,0,0,-0.191665,-4.94066e-324,0,0,0,1,0.0578245,0,0,-0.191665,-0.249489,-0.269156,0,0.646216,0,0,0,0,1.08364,7660

1476350,0.646216,0,0,0,-0.191665,-4.94066e-324,0,0,0,1,0.0578245,0,0,-0.191665,-0.249489,-0.269156,0,0.646216,0,0,0,0,1.08364,7661

1476360,0.646216,0,0,0,-0.191665,-4.94066e-324,0,0,0,1,0.0578245,0,0,-0.191665,-0.249489,-0.269156,0,0.646216,0,0,0,0,1.08364,7662

1476370,0.646216,0,0,0,-0.191665,-4.94066e-324,0,0,0,1,0.0578245,0,0,-0.191665,-0.249489,-0.269156,0,0.646216,0,0,0,0,1.08364,7663

1476380,0.646216,0,0,0,-0.191665,-4.94066e-324,0,0,0,1,0.0578245,0,0,-0.191665,-0.249489,-0.269156,0,0.646216,0,0,0,0,1.08364,7664

1476390,0.646216,0,0,0,-0.191665,-4.94066e-324,0,0,0,1,0.0578245,0,0,-0.191665,-0.249489,-0.269156,0,0.646216,0,0,0,0,1.08364,7665

1476400,0.646216,0,0,0,-0.191665,-4.94066e-324,0,0,0,1,0.0578245,0,0,-0.191665,-0.249489,-0.269156,0,0.646216,0,0,0,0,1.08364,7666

1476410,0.646216,0,0,0,-0.191665,-4.94066e-324,0,0,0,1,0.0578245,0,0,-0.191665,-0.249489,-0.269156,0,0.646216,0,0,0,0,1.08364,7667

1476420,0.646216,0,0,0,-0.191665,-4.94066e-324,0,0,0,1,0.0578245,0,0,-0.191665,-0.249489,-0.269156,0,0.646216,0,0,0,0,1.08364,7668

1476430,0.646216,0,0,0,-0.191665,-4.94066e-324,0,0,0,1,0.0578245,0,0,-0.191665,-0.249489,-0.269156,0,0.646216,0,0,0,0,1.08364,7669

1476440,0.646216,0,0,0,-0.191665,-4.94066e-324,0,0,0,1,0.0578245,0,0,-0.191665,-0.249489,-0.269156,0,0.646216,0,0,0,0,1.08364,7670

1476450,0.646216,0,0,0,-0.191665,-4.94066e-324,0,0,0,1,0.0578245,0,0,-0.191665,-0.249489,-0.269156,0,0.646216,0,0,0,0,1.08364,7671

1476460,0.646216,0,0,0,-0.191665,-4.94066e-324,0,0,0,1,0.0578245,0,0,-0.191665,-0.249489,-0.269156,0,0.646216,0,0,0,0,1.08364,7672

1476470,0.646216,0,0,0,-0.191665,-4.94066e-324,0,0,0,1,0.0578245,0,0,-0.191665,-0.249489,-0.269156,0,0.646216,0,0,0,0,1.08364,7673

1476480,0.646216,0,0,0,-0.191665,-4.94066e-324,0,0,0,1,0.0578245,0,0,-0.191665,-0.249489,-0.269156,0,0.646216,0,0,0,0,1.08364,7674

1476490,0.646216,0,0,0,-0.191665,-4.94066e-324,0,0,0,1,0.0578245,0,0,-0.191665,-0.249489,-0.269156,0,0.646216,0,0,0,0,1.08364,7675

1476500,0.646216,0,0,0,-0.191665,-4.94066e-324,0,0,0,1,0.0578245,0,0,-0.191665,-0.249489,-0.269156,0,0.646216,0,0,0,0,1.08364,7676

1476510,0.646216,0,0,0,-0.191665,-4.94066e-324,0,0,0,1,0.0578245,0,0,-0.191665,-0.249489,-0.269156,0,0.646216,0,0,0,0,1.08364,7677

1476520,0.646216,0,0,0,-0.191665,-4.94066e-324,0,0,0,1,0.0578245,0,0,-0.191665,-0.249489,-0.269156,0,0.646216,0,0,0,0,1.08364,7678

